ID	source_count	listitem_count	boldtitle_count	interviewquote_count	numberedrow_count	paragraph_count	uniq_MIES	uniq_NAINEN	uniq_NETTISIVU	uniq_JULKAISU	uniq_YLIOPISTO	uniq_SAIRAALA	uniq_YRITYS	uniq_VIRASTO	uniq_JARJESTO	uniq_TUOTE	uniq_TUTKIMUS
ID271	0	0	4	14	0	36	1	5	0	0	0	0	0	0	0	0	0
ID272	0	0	10	0	0	23	0	0	0	0	0	0	0	0	0	0	0
ID273	0	0	0	0	0	5	0	0	0	1	0	0	0	1	0	0	2
ID274	0	0	2	0	0	11	1	0	0	0	0	0	0	1	0	0	0
ID275	0	18	5	0	0	40	0	0	0	0	0	0	0	0	0	0	0
ID276	0	4	4	0	0	14	1	0	1	0	0	0	0	0	0	0	0
ID277	0	0	1	0	0	20	1	0	1	1	1	0	0	1	0	1	0
ID278	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	1	0
ID279	0	0	2	7	0	24	0	1	0	0	1	0	0	1	0	0	0
ID280	0	0	2	1	0	12	0	1	1	0	1	1	0	2	0	0	0
ID281	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
ID282	0	0	4	0	0	16	0	0	0	0	0	0	0	0	0	0	0
ID283	0	0	4	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ID284	0	0	5	0	0	14	0	0	0	0	0	0	0	0	0	0	0
ID285	0	0	0	0	0	7	1	2	0	0	0	0	0	0	0	0	0
ID286	0	0	2	0	0	20	0	0	0	0	0	0	0	0	0	0	0
ID287	0	0	2	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ID288	6	9	4	1	0	35	1	0	0	0	0	0	3	0	0	2	0
ID289	0	0	5	0	10	21	1	1	3	0	0	0	0	0	0	0	0
ID290	0	0	1	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ID291	0	0	7	0	7	25	0	0	0	0	1	0	0	0	0	0	0
ID292	0	0	5	0	3	15	0	0	0	0	0	0	0	0	0	0	0
ID293	0	0	0	4	0	15	2	3	1	0	1	0	1	3	0	1	0
ID294	26	0	6	0	0	15	0	0	0	0	0	0	0	0	0	1	0
ID295	1	3	9	2	0	44	0	1	0	1	0	0	1	2	1	3	0
ID296	0	0	0	0	0	8	0	0	0	0	0	0	5	0	1	0	0
ID297part1of3	15	0	2	0	0	16	1	0	1	0	0	0	0	0	0	0	4
ID297part2of3	4	0	1	0	0	8	1	0	1	0	0	0	0	0	0	0	0
ID297part3of3	0	0	1	0	0	11	0	1	0	0	0	1	0	0	0	0	0
ID298	8	0	3	0	1	15	4	0	2	2	0	0	0	0	0	0	0
ID299part1of2	2	0	1	6	0	15	2	0	0	1	0	0	0	0	0	0	0
ID299part2of2	0	0	2	4	1	17	3	1	0	1	3	0	0	0	2	0	0
ID300	0	0	2	4	0	28	4	0	2	0	0	0	4	2	0	1	1
ID301	0	0	0	0	0	26	1	0	0	0	0	0	3	0	0	1	0
ID302	0	16	3	0	0	26	0	0	0	0	0	0	0	0	0	0	0
ID303	0	0	3	0	0	18	0	0	0	0	0	0	1	0	0	1	0
ID304	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0
ID305	0	0	5	0	0	12	0	0	0	0	0	0	0	0	0	1	0
ID306	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ID307	0	0	3	1	0	13	0	1	1	0	0	0	0	0	0	0	0
ID308	0	0	5	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ID309	0	0	4	0	0	18	1	0	0	1	0	0	0	0	0	0	0
ID310	1	0	3	0	0	11	0	0	0	0	0	0	0	0	0	0	0
ID311	0	5	2	0	0	20	1	0	0	0	0	0	0	0	0	0	0
ID312	0	0	2	8	0	17	0	1	0	0	0	0	0	1	1	0	0
ID313	0	0	0	0	0	18	1	1	1	0	0	0	0	0	0	0	0
ID314	0	0	2	0	0	15	0	0	0	0	0	0	0	0	0	0	0
ID315	5	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0
ID316	0	0	3	5	0	16	1	0	0	0	1	0	0	0	0	0	0
ID317	0	4	3	0	0	20	0	0	0	0	0	0	0	0	0	0	0
ID318	0	0	0	0	0	11	2	1	0	0	0	0	0	2	1	0	0
ID319	0	0	7	0	6	41	1	0	0	0	0	0	0	0	0	0	0
ID320	0	0	5	12	0	32	3	0	0	0	1	0	0	3	0	0	0
ID321	17	0	2	0	0	15	1	0	0	0	0	0	1	2	1	0	0
ID322	0	0	3	7	0	23	1	0	0	0	1	0	0	0	0	0	0
ID325	0	0	0	0	0	17	1	1	0	0	0	0	0	1	0	0	0
ID327	5	5	9	0	0	35	0	1	1	0	0	0	0	0	0	0	1
ID328	0	0	2	0	0	13	0	1	0	0	0	0	0	0	0	0	0
ID329	0	0	1	2	0	11	1	1	0	0	0	0	0	0	0	0	0
ID330	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
ID331part1of4	12	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0
ID331part2of4	12	0	0	0	0	9	1	0	0	0	1	1	0	0	0	0	0
ID331part3of4	6	0	1	0	0	8	3	1	1	1	0	1	0	0	2	0	0
ID331part4of4	23	0	1	0	0	18	2	1	0	2	4	1	0	2	0	0	1
ID332	0	0	19	0	0	40	0	0	0	0	1	0	0	0	0	0	0
ID333	0	0	2	0	0	14	0	0	0	0	0	0	0	0	0	0	0
ID334	0	0	3	0	0	17	0	1	0	0	1	0	0	1	1	0	0
